capital_from,capital_to,distance_km
Hargeisa,Torshavn,7107.82
Hargeisa,Suva,15023.41
Hargeisa,Helsinki,5837.86
Hargeisa,Paris,5829.52
Hargeisa,Papeete,18310.03
Hargeisa,Libreville,3964.43
Hargeisa,Banjul,6612.12
Hargeisa,Tbilisi,3561.21
Hargeisa,Berlin,5508.55
Hargeisa,Accra,4902.03
Hargeisa,Gibraltar,5779.31
Hargeisa,Athens,3749.73
Hargeisa,Nuuk,9335.73
Hargeisa,Saint George's,11486.62
Hargeisa,Hagatna,10910.3
Hargeisa,Guatemala City,14347.42
Hargeisa,Saint Peter Port,6165.46
Hargeisa,Conakry,6332.5
Hargeisa,Bissau,6516.82
Hargeisa,Georgetown,11220.97
Hargeisa,Port-au-Prince,12387.7
Hargeisa,Vatican City,4732.09
Hargeisa,Tegucigalpa,14047.34
Hargeisa,Budapest,4819.21
Hargeisa,Reykjavik,7902.9
Hargeisa,New Delhi,4053.2
Hargeisa,Jakarta,7175.13
Hargeisa,Tehran,2990.98
Hargeisa,Baghdad,2633.88
Hargeisa,Dublin,6598.25
Hargeisa,Douglas,6542.48
Hargeisa,Jerusalem,2622.94
Hargeisa,Rome,4729.97
Hargeisa,Kingston,12852.53
Hargeisa,Tokyo,9908.87
Hargeisa,Saint Helier,6123.41
Hargeisa,Amman,2617.79
Hargeisa,Astana,5248.33
Hargeisa,Nairobi,1441.61
Hargeisa,Tarawa,13924.9
Hargeisa,Pyongyang,8634.45
Hargeisa,Seoul,8750.62
Hargeisa,Pristina,4293.73
Hargeisa,Kuwait City,2231.52
Hargeisa,Bishkek,4737.58
Hargeisa,Vientiane,6376.16
Hargeisa,Riga,5533.99
Hargeisa,Beirut,2831.28
Hargeisa,Maseru,4653.56
Hargeisa,Monrovia,6052.93
Hargeisa,Tripoli,4088.29
Hargeisa,Vaduz,5286.7
Hargeisa,Vilnius,5273.63
Hargeisa,Luxembourg,5655.57
Hargeisa,Skopje,4221.87
Hargeisa,Antananarivo,3171.44
Hargeisa,Lilongwe,2837.21
Hargeisa,Kuala Lumpur,6410.21
Hargeisa,Male,3307.31
Hargeisa,Bamako,5688.18
Hargeisa,Valletta,4176.19
Hargeisa,Majuro,13910.35
Hargeisa,Nouakchott,6531.44
Hargeisa,Port Louis,3599.7
Hargeisa,Mexico City,14868.25
Hargeisa,Palikir,12503.82
Hargeisa,Chisinau,4393.4
Hargeisa,Monaco,5181.79
Hargeisa,Ulaanbaatar,7215.18
Hargeisa,Podgorica,4372.7
Hargeisa,Plymouth,11414.55
Hargeisa,Rabat,5840.45
Hargeisa,Maputo,4119.0
Hargeisa,Windhoek,4612.21
Hargeisa,Kathmandu,4764.69
Hargeisa,Amsterdam,5912.67
Hargeisa,Noumea,13742.84
Hargeisa,Wellington,14057.07
Hargeisa,Managua,14033.89
Hargeisa,Niamey,4590.04
Hargeisa,Abuja,4010.21
Hargeisa,Alofi,16229.12
Hargeisa,Kingston,13815.74
Hargeisa,Saipan,10976.98
Hargeisa,Oslo,6238.0
Hargeisa,Muscat,2193.77
Hargeisa,Islamabad,3991.58
Hargeisa,Melekeok,9945.06
Hargeisa,Panama City,13454.72
Hargeisa,Port Moresby,11616.78
Hargeisa,Asuncion,11636.46
Hargeisa,Lima,13600.3
Hargeisa,Manila,8356.36
Hargeisa,Adamstown,18181.09
Hargeisa,Warsaw,5174.77
Hargeisa,Lisbon,6184.49
Hargeisa,San Juan,11763.26
Hargeisa,Doha,1912.92
Hargeisa,Bucharest,4235.18
Hargeisa,Moscow,5155.79
Hargeisa,Kigali,2006.8
Hargeisa,Gustavia,11447.1
Hargeisa,Jamestown,6166.0
Hargeisa,Basseterre,11449.67
Hargeisa,Castries,11358.42
Hargeisa,Saint-Pierre,10011.58
Hargeisa,Kingstown,11403.1
Hargeisa,Apia,16105.78
Hargeisa,San Marino,4882.06
Hargeisa,Sao Tome,4257.4
Hargeisa,Riyadh,1694.66
Hargeisa,Dakar,6719.66
Hargeisa,Belgrade,4517.18
Hargeisa,Victoria,2013.32
Hargeisa,Freetown,6292.34
Hargeisa,Singapore,6681.22
Hargeisa,Philipsburg,11462.14
Hargeisa,Bratislava,4967.37
Hargeisa,Ljubljana,4925.12
Hargeisa,Honiara,13009.09
Hargeisa,Mogadishu,839.66
Hargeisa,Pretoria,4260.35
Hargeisa,Juba,1467.9
Hargeisa,Madrid,5805.83
Hargeisa,Colombo,3951.61
Hargeisa,Khartoum,1418.53
Hargeisa,Paramaribo,10916.83
Hargeisa,Longyearbyen,7795.96
Hargeisa,Mbabane,4206.9
Hargeisa,Stockholm,5939.9
Hargeisa,Bern,5391.76
Hargeisa,Damascus,2768.47
Hargeisa,Taipei,8314.38
Hargeisa,Dushanbe,4050.33
Hargeisa,Dar es Salaam,1883.73
Hargeisa,Bangkok,6161.94
Hargeisa,Dili,9258.35
Hargeisa,Lome,4736.32
Hargeisa,Nuku'alofa,15641.2
Hargeisa,Port of Spain,11496.12
Hargeisa,Tunis,4552.1
Hargeisa,Ankara,3543.97
Hargeisa,Ashgabat,3458.33
Hargeisa,Grand Turk,12163.68
Hargeisa,Funafuti,15109.25
Hargeisa,Kampala,1632.72
Hargeisa,Kyiv,4701.33
Hargeisa,Abu Dhabi,1980.71
Hargeisa,London,6135.33
Hargeisa,Washington,11907.89
Hargeisa,Montevideo,11543.96
Hargeisa,Tashkent,4302.75
Hargeisa,Port-Vila,13956.95
Hargeisa,Caracas,12070.27
Hargeisa,Hanoi,6719.7
Hargeisa,Charlotte Amalie,11646.48
Hargeisa,Mata-Utu,16086.98
Hargeisa,Sanaa,641.84
Hargeisa,Lusaka,3263.07
Hargeisa,Harare,3348.11
Hargeisa,Washington,11907.89
Hargeisa,,4992.99
Hargeisa,North Nicosia,3039.51
Hargeisa,,4992.99
Hargeisa,,4992.99
Hargeisa,Diego Garcia,3654.59
Hargeisa,,4992.99
King Edward Point,Hargeisa,10255.73
King Edward Point,King Edward Point,0.0
King Edward Point,Port-aux-Français,6643.8
King Edward Point,Jerusalem,11739.93
King Edward Point,Mariehamn,13634.34
King Edward Point,Yaren,13558.47
King Edward Point,Marigot,8407.81
King Edward Point,Atafu,11831.2
King Edward Point,El-Aaiún,9296.03
King Edward Point,Kabul,14015.16
King Edward Point,Tirana,11872.28
King Edward Point,Algiers,10775.09
King Edward Point,Pago Pago,11268.32
King Edward Point,Andorra la Vella,11318.55
King Edward Point,Luanda,6684.77
King Edward Point,The Valley,8422.19
King Edward Point,Saint John's,8271.02
King Edward Point,Buenos Aires,2787.06
King Edward Point,Yerevan,12987.21
King Edward Point,Oranjestad,8050.49
King Edward Point,Canberra,10067.61
King Edward Point,Vienna,12393.89
King Edward Point,Baku,13307.06
King Edward Point,Nassau,9625.21
King Edward Point,Manama,12149.04
King Edward Point,Dhaka,14488.9
King Edward Point,Bridgetown,7780.35
King Edward Point,Minsk,13355.95
King Edward Point,Brussels,12255.7
King Edward Point,Belmopan,9346.59
King Edward Point,Porto-Novo,7655.66
King Edward Point,Hamilton,9968.89
King Edward Point,Thimphu,14763.83
King Edward Point,La Paz,4999.82
King Edward Point,Sarajevo,12057.94
King Edward Point,Gaborone,6039.78
King Edward Point,Brasilia,4385.02
King Edward Point,Road Town,8489.38
King Edward Point,Bandar Seri Begawan,13953.93
King Edward Point,Sofia,12153.38
King Edward Point,Ouagadougou,8089.41
King Edward Point,Rangoon,14211.95
King Edward Point,Bujumbura,8155.45
King Edward Point,Phnom Penh,14185.63
King Edward Point,Yaounde,7819.28
King Edward Point,Ottawa,11654.54
King Edward Point,Praia,7765.9
King Edward Point,George Town,9204.98
King Edward Point,Bangui,8245.47
King Edward Point,N'Djamena,8805.65
King Edward Point,Santiago,3532.28
King Edward Point,Beijing,17434.97
King Edward Point,The Settlement,12008.51
King Edward Point,West Island,11437.44
King Edward Point,Bogota,7397.39
King Edward Point,Moroni,8293.57
King Edward Point,Kinshasa,7231.82
King Edward Point,Brazzaville,7237.23
King Edward Point,Avarua,10055.89
King Edward Point,San Jose,8395.25
King Edward Point,Yamoussoukro,7371.92
King Edward Point,Zagreb,12148.6
King Edward Point,Havana,9630.73
King Edward Point,Willemstad,7966.33
King Edward Point,Nicosia,11947.65
King Edward Point,Prague,12506.5
King Edward Point,Copenhagen,12983.76
King Edward Point,Djibouti,10382.49
King Edward Point,Roseau,8064.38
King Edward Point,Santo Domingo,8666.18
King Edward Point,Quito,7115.15
King Edward Point,Cairo,11367.42
King Edward Point,San Salvador,9021.37
King Edward Point,Malabo,7669.87
King Edward Point,Asmara,10461.03
King Edward Point,Tallinn,13735.46
King Edward Point,Addis Ababa,9872.48
King Edward Point,Stanley,1456.24
King Edward Point,Torshavn,13155.13
King Edward Point,Suva,11322.11
King Edward Point,Helsinki,13807.1
King Edward Point,Paris,11997.82
King Edward Point,Papeete,9852.61
King Edward Point,Libreville,7371.51
King Edward Point,Banjul,7739.01
King Edward Point,Tbilisi,13133.12
King Edward Point,Berlin,12705.41
King Edward Point,Accra,7439.19
King Edward Point,Gibraltar,10454.29
King Edward Point,Athens,11730.48
King Edward Point,Nuuk,13203.23
King Edward Point,Saint George's,7727.39
King Edward Point,Hagatna,15474.54
King Edward Point,Guatemala City,9178.13
King Edward Point,Saint Peter Port,11928.57
King Edward Point,Conakry,7385.88
King Edward Point,Bissau,7589.72
King Edward Point,Georgetown,7065.35
King Edward Point,Port-au-Prince,8760.46
King Edward Point,Vatican City,11631.81
King Edward Point,Tegucigalpa,8960.7
King Edward Point,Budapest,12431.13
King Edward Point,Reykjavik,13193.71
King Edward Point,New Delhi,14055.29
King Edward Point,Jakarta,12489.6
King Edward Point,Tehran,13009.4
King Edward Point,Baghdad,12395.61
King Edward Point,Dublin,12249.88
King Edward Point,Douglas,12375.08
King Edward Point,Jerusalem,11739.93
King Edward Point,Rome,11633.08
King Edward Point,Kingston,8879.21
King Edward Point,Tokyo,17916.89
King Edward Point,Saint Helier,11911.61
King Edward Point,Amman,11794.9
King Edward Point,Astana,15346.31
King Edward Point,Nairobi,8814.4
King Edward Point,Tarawa,13439.86
King Edward Point,Pyongyang,17848.56
King Edward Point,Seoul,17762.49
King Edward Point,Pristina,12058.44
King Edward Point,Kuwait City,12262.24
King Edward Point,Bishkek,14990.25
King Edward Point,Vientiane,14684.68
King Edward Point,Riga,13493.78
King Edward Point,Beirut,11943.99
King Edward Point,Maseru,5750.17
King Edward Point,Monrovia,7129.39
King Edward Point,Tripoli,10768.33
King Edward Point,Vaduz,12045.75
King Edward Point,Vilnius,13337.05
King Edward Point,Luxembourg,12183.77
King Edward Point,Skopje,12006.78
King Edward Point,Antananarivo,7936.64
King Edward Point,Lilongwe,7479.27
King Edward Point,Kuala Lumpur,13198.03
King Edward Point,Male,11672.49
King Edward Point,Bamako,7890.56
King Edward Point,Valletta,11120.39
King Edward Point,Majuro,14210.13
King Edward Point,Nouakchott,8251.83
King Edward Point,Port Louis,8464.89
King Edward Point,Mexico City,10097.83
King Edward Point,Palikir,14590.24
King Edward Point,Chisinau,12795.8
King Edward Point,Monaco,11634.01
King Edward Point,Ulaanbaatar,17389.68
King Edward Point,Podgorica,11955.78
King Edward Point,Plymouth,8236.77
King Edward Point,Rabat,10190.32
King Edward Point,Maputo,6362.55
King Edward Point,Windhoek,5656.71
King Edward Point,Kathmandu,14508.43
King Edward Point,Amsterdam,12426.06
King Edward Point,Noumea,11244.05
King Edward Point,Wellington,9001.87
King Edward Point,Managua,8719.29
King Edward Point,Niamey,8351.83
King Edward Point,Abuja,8140.65
King Edward Point,Alofi,10757.26
King Edward Point,Kingston,10477.91
King Edward Point,Saipan,15663.22
King Edward Point,Oslo,13340.31
King Edward Point,Muscat,12428.52
King Edward Point,Islamabad,14197.81
King Edward Point,Melekeok,14753.9
King Edward Point,Panama City,8082.55
King Edward Point,Port Moresby,12933.01
King Edward Point,Asuncion,3665.14
King Edward Point,Lima,5876.9
King Edward Point,Manila,15187.62
King Edward Point,Adamstown,8007.27
King Edward Point,Warsaw,12950.78
King Edward Point,Lisbon,10632.53
King Edward Point,San Juan,8540.77
King Edward Point,Doha,12126.49
King Edward Point,Bucharest,12439.34
King Edward Point,Moscow,13931.75
King Edward Point,Kigali,8328.91
King Edward Point,Gustavia,8380.95
King Edward Point,Jamestown,5016.72
King Edward Point,Basseterre,8314.96
King Edward Point,Castries,7914.3
King Edward Point,Saint-Pierre,11351.84
King Edward Point,Kingstown,7827.73
King Edward Point,Apia,11362.22
King Edward Point,San Marino,11831.25
King Edward Point,Sao Tome,7230.1
King Edward Point,Riyadh,11772.26
King Edward Point,Dakar,7854.08
King Edward Point,Belgrade,12235.54
King Edward Point,Victoria,9720.59
King Edward Point,Freetown,7289.91
King Edward Point,Singapore,13113.66
King Edward Point,Philipsburg,8400.4
King Edward Point,Bratislava,12417.28
King Edward Point,Ljubljana,12116.75
King Edward Point,Honiara,12776.82
King Edward Point,Mogadishu,9662.98
King Edward Point,Pretoria,6099.47
King Edward Point,Juba,9051.98
King Edward Point,Madrid,10949.72
King Edward Point,Colombo,12319.68
King Edward Point,Khartoum,10102.25
King Edward Point,Paramaribo,6886.28
King Edward Point,Longyearbyen,15115.97
King Edward Point,Mbabane,6237.29
King Edward Point,Stockholm,13503.3
King Edward Point,Bern,11956.13
King Edward Point,Damascus,11954.48
King Edward Point,Taipei,16286.98
King Edward Point,Dushanbe,14303.68
King Edward Point,Dar es Salaam,8474.4
King Edward Point,Bangkok,14169.43
King Edward Point,Dili,12838.79
King Edward Point,Lome,7557.7
King Edward Point,Nuku'alofa,10768.72
King Edward Point,Port of Spain,7571.35
King Edward Point,Tunis,11037.83
King Edward Point,Ankara,12352.02
King Edward Point,Ashgabat,13612.87
King Edward Point,Grand Turk,9022.32
King Edward Point,Funafuti,12287.66
King Edward Point,Kampala,8692.1
King Edward Point,Kyiv,13174.56
King Edward Point,Abu Dhabi,12233.52
King Edward Point,London,12203.61
King Edward Point,Washington,11025.88
King Edward Point,Montevideo,2645.77
King Edward Point,Tashkent,14542.57
King Edward Point,Port-Vila,11683.54
King Edward Point,Caracas,7724.7
King Edward Point,Hanoi,15151.37
King Edward Point,Charlotte Amalie,8491.87
King Edward Point,Mata-Utu,11356.39
King Edward Point,Sanaa,10788.0
King Edward Point,Lusaka,6997.27
King Edward Point,Harare,6961.86
King Edward Point,Washington,11025.88
King Edward Point,,6882.23
King Edward Point,North Nicosia,11949.17
King Edward Point,,6882.23
King Edward Point,,6882.23
King Edward Point,Diego Garcia,10553.84
King Edward Point,,6882.23
Port-aux-Français,Hargeisa,7007.29
Port-aux-Français,King Edward Point,6643.8
Port-aux-Français,Port-aux-Français,0.0
Port-aux-Français,Jerusalem,9630.22
Port-aux-Français,Mariehamn,12954.1
Port-aux-Français,Yaren,10449.49
Port-aux-Français,Marigot,14600.18
Port-aux-Français,Atafu,11175.71
Port-aux-Français,El-Aaiún,11799.28
Port-aux-Français,Kabul,9290.09
Port-aux-Français,Tirana,11189.24
Port-aux-Français,Algiers,11602.66
Port-aux-Français,Pago Pago,10787.49
Port-aux-Français,Andorra la Vella,12179.74
Port-aux-Français,Luanda,6909.99
Port-aux-Français,The Valley,14610.34
Port-aux-Français,Saint John's,14435.56
Port-aux-Français,Buenos Aires,9430.54
Port-aux-Français,Yerevan,10232.98
Port-aux-Français,Oranjestad,14546.19
Port-aux-Français,Canberra,6386.19
Port-aux-Français,Vienna,11981.72
Port-aux-Français,Baku,10139.36
Port-aux-Français,Nassau,16126.31
Port-aux-Français,Manama,8595.7
Port-aux-Français,Dhaka,8336.72
Port-aux-Français,Bridgetown,13938.17
Port-aux-Français,Minsk,12121.9
Port-aux-Français,Brussels,12742.34
Port-aux-Français,Belmopan,15976.13
Port-aux-Français,Porto-Novo,8969.33
Port-aux-Français,Hamilton,15854.42
Port-aux-Français,Thimphu,8723.7
Port-aux-Français,La Paz,11643.15
Port-aux-Français,Sarajevo,11490.9
Port-aux-Français,Gaborone,4704.95
Port-aux-Français,Brasilia,10591.45
Port-aux-Français,Road Town,14731.78
Port-aux-Français,Bandar Seri Begawan,7395.48
Port-aux-Français,Sofia,11175.87
Port-aux-Français,Ouagadougou,9761.44
Port-aux-Français,Rangoon,7760.99
Port-aux-Français,Bujumbura,6391.68
Port-aux-Français,Phnom Penh,7552.84
Port-aux-Français,Yaounde,8147.4
Port-aux-Français,Ottawa,17430.47
Port-aux-Français,Praia,11521.12
Port-aux-Français,George Town,15826.3
Port-aux-Français,Bangui,7749.43
Port-aux-Français,N'Djamena,8679.3
Port-aux-Français,Santiago,10053.2
Port-aux-Français,Beijing,10876.95
Port-aux-Français,The Settlement,5419.35
Port-aux-Français,West Island,4793.8
Port-aux-Français,Bogota,14019.66
Port-aux-Français,Moroni,4857.56
Port-aux-Français,Kinshasa,7167.73
Port-aux-Français,Brazzaville,7174.76
Port-aux-Français,Avarua,10767.65
Port-aux-Français,San Jose,15032.24
Port-aux-Français,Yamoussoukro,9541.77
Port-aux-Français,Zagreb,11774.91
Port-aux-Français,Havana,16239.37
Port-aux-Français,Willemstad,14440.67
Port-aux-Français,Nicosia,10045.02
Port-aux-Français,Prague,12232.84
Port-aux-Français,Copenhagen,12808.25
Port-aux-Français,Djibouti,7252.01
Port-aux-Français,Roseau,14248.48
Port-aux-Français,Santo Domingo,15077.78
Port-aux-Français,Quito,13755.86
Port-aux-Français,Cairo,9605.38
Port-aux-Français,San Salvador,15629.55
Port-aux-Français,Malabo,8315.75
Port-aux-Français,Asmara,7798.7
Port-aux-Français,Tallinn,12744.3
Port-aux-Français,Addis Ababa,7160.47
Port-aux-Français,Stanley,7777.23
Port-aux-Français,Torshavn,14089.7
Port-aux-Français,Suva,9749.45
Port-aux-Français,Helsinki,12808.14
Port-aux-Français,Paris,12673.0
Port-aux-Français,Papeete,11626.81
Port-aux-Français,Libreville,7972.89
Port-aux-Français,Banjul,10901.23
Port-aux-Français,Tbilisi,10386.62
Port-aux-Français,Berlin,12496.03
Port-aux-Français,Accra,9081.71
Port-aux-Français,Gibraltar,12036.29
Port-aux-Français,Athens,10701.38
Port-aux-Français,Nuuk,16265.73
Port-aux-Français,Saint George's,13986.01
Port-aux-Français,Hagatna,10045.27
Port-aux-Français,Guatemala City,15774.61
Port-aux-Français,Saint Peter Port,12962.27
Port-aux-Français,Conakry,10366.18
Port-aux-Français,Bissau,10697.59
Port-aux-Français,Georgetown,13284.02
Port-aux-Français,Port-au-Prince,15234.98
Port-aux-Français,Vatican City,11576.57
Port-aux-Français,Tegucigalpa,15590.35
Port-aux-Français,Budapest,11806.01
Port-aux-Français,Reykjavik,14867.66
Port-aux-Français,New Delhi,8661.31
Port-aux-Français,Jakarta,5887.57
Port-aux-Français,Tehran,9602.37
Port-aux-Français,Baghdad,9508.57
Port-aux-Français,Dublin,13446.09
Port-aux-Français,Douglas,13423.46
Port-aux-Français,Jerusalem,9630.22
Port-aux-Français,Rome,11574.99
Port-aux-Français,Kingston,15450.74
Port-aux-Français,Tokyo,11644.16
Port-aux-Français,Saint Helier,12919.05
Port-aux-Français,Amman,9624.42
Port-aux-Français,Astana,11139.76
Port-aux-Français,Nairobi,6202.58
Port-aux-Français,Tarawa,10609.74
Port-aux-Français,Pyongyang,11205.25
Port-aux-Français,Seoul,11129.15
Port-aux-Français,Pristina,11261.49
Port-aux-Français,Kuwait City,8993.92
Port-aux-Français,Bishkek,10225.43
Port-aux-Français,Vientiane,8112.84
Port-aux-Français,Riga,12525.35
Port-aux-Français,Beirut,9836.85
Port-aux-Français,Maseru,4223.92
Port-aux-Français,Monrovia,9889.45
Port-aux-Français,Tripoli,10712.32
Port-aux-Français,Vaduz,12183.98
Port-aux-Français,Vilnius,12268.8
Port-aux-Français,Luxembourg,12555.39
Port-aux-Français,Skopje,11186.41
Port-aux-Français,Antananarivo,3938.83
Port-aux-Français,Lilongwe,5137.05
Port-aux-Français,Kuala Lumpur,6561.12
Port-aux-Français,Male,5937.79
Port-aux-Français,Bamako,10230.24
Port-aux-Français,Valletta,10923.12
Port-aux-Français,Majuro,11413.84
Port-aux-Français,Nouakchott,11241.99
Port-aux-Français,Port Louis,3432.11
Port-aux-Français,Mexico City,16552.99
Port-aux-Français,Palikir,10438.38
Port-aux-Français,Chisinau,11397.17
Port-aux-Français,Monaco,11984.03
Port-aux-Français,Ulaanbaatar,11341.19
Port-aux-Français,Podgorica,11319.04
Port-aux-Français,Plymouth,14424.16
Port-aux-Français,Rabat,11950.7
Port-aux-Français,Maputo,4146.25
Port-aux-Français,Windhoek,5487.52
Port-aux-Français,Kathmandu,8666.38
Port-aux-Français,Amsterdam,12842.85
Port-aux-Français,Noumea,8595.43
Port-aux-Français,Wellington,7560.85
Port-aux-Français,Managua,15349.15
Port-aux-Français,Niamey,9619.65
Port-aux-Français,Abuja,8872.98
Port-aux-Français,Alofi,10403.11
Port-aux-Français,Kingston,8139.29
Port-aux-Français,Saipan,10263.23
Port-aux-Français,Oslo,13245.03
Port-aux-Français,Muscat,8163.51
Port-aux-Français,Islamabad,9201.37
Port-aux-Français,Melekeok,8844.23
Port-aux-Français,Panama City,14724.39
Port-aux-Français,Port Moresby,8273.31
Port-aux-Français,Asuncion,10268.85
Port-aux-Français,Lima,12488.88
Port-aux-Français,Manila,8657.09
Port-aux-Français,Adamstown,11520.55
Port-aux-Français,Warsaw,12181.91
Port-aux-Français,Lisbon,12474.18
Port-aux-Français,San Juan,14834.78
Port-aux-Français,Doha,8471.65
Port-aux-Français,Bucharest,11240.09
Port-aux-Français,Moscow,12036.76
Port-aux-Français,Kigali,6488.25
Port-aux-Français,Gustavia,14568.36
Port-aux-Français,Jamestown,7665.15
Port-aux-Français,Basseterre,14509.27
Port-aux-Français,Castries,14108.62
Port-aux-Français,Saint-Pierre,16096.02
Port-aux-Français,Kingstown,14046.89
Port-aux-Français,Apia,10761.73
Port-aux-Français,San Marino,11763.26
Port-aux-Français,Sao Tome,8151.57
Port-aux-Français,Riyadh,8521.79
Port-aux-Français,Dakar,11083.92
Port-aux-Français,Belgrade,11496.08
Port-aux-Français,Victoria,5150.61
Port-aux-Français,Freetown,10247.37
Port-aux-Français,Singapore,6469.94
Port-aux-Français,Philipsburg,14592.07
Port-aux-Français,Bratislava,11946.31
Port-aux-Français,Ljubljana,11862.18
Port-aux-Français,Honiara,9200.96
Port-aux-Français,Mogadishu,6178.9
Port-aux-Français,Pretoria,4459.73
Port-aux-Français,Juba,7067.28
Port-aux-Français,Madrid,12290.83
Port-aux-Français,Colombo,6303.25
Port-aux-Français,Khartoum,8093.85
Port-aux-Français,Paramaribo,13002.63
Port-aux-Français,Longyearbyen,14620.09
Port-aux-Français,Mbabane,4212.28
Port-aux-Français,Stockholm,12941.74
Port-aux-Français,Bern,12260.47
Port-aux-Français,Damascus,9771.68
Port-aux-Français,Taipei,9677.91
Port-aux-Français,Dushanbe,9738.15
Port-aux-Français,Dar es Salaam,5534.23
Port-aux-Français,Bangkok,7597.19
Port-aux-Français,Dili,6822.16
Port-aux-Français,Lome,9032.55
Port-aux-Français,Nuku'alofa,9891.9
Port-aux-Français,Port of Spain,13846.24
Port-aux-Français,Tunis,11224.93
Port-aux-Français,Ankara,10548.46
Port-aux-Français,Ashgabat,9740.61
Port-aux-Français,Grand Turk,15420.19
Port-aux-Français,Funafuti,10638.86
Port-aux-Français,Kampala,6574.46
Port-aux-Français,Kyiv,11686.68
Port-aux-Français,Abu Dhabi,8325.64
Port-aux-Français,London,13005.36
Port-aux-Français,Washington,17176.15
Port-aux-Français,Montevideo,9286.46
Port-aux-Français,Tashkent,10044.74
Port-aux-Français,Port-Vila,9101.76
Port-aux-Français,Caracas,14167.55
Port-aux-Français,Hanoi,8556.18
Port-aux-Français,Charlotte Amalie,14746.95
Port-aux-Français,Mata-Utu,10739.27
Port-aux-Français,Sanaa,7610.99
Port-aux-Français,Lusaka,5338.2
Port-aux-Français,Harare,4950.86
Port-aux-Français,Washington,17176.15
Port-aux-Français,,8587.93
Port-aux-Français,North Nicosia,10046.72
Port-aux-Français,,8587.93
Port-aux-Français,,8587.93
Port-aux-Français,Diego Garcia,4665.81
Port-aux-Français,,8587.93
Jerusalem,Hargeisa,2622.94
Jerusalem,King Edward Point,11739.93
Jerusalem,Port-aux-Français,9630.22
Jerusalem,Jerusalem,0.0
Jerusalem,Mariehamn,3348.94
Jerusalem,Yaren,13887.01
Jerusalem,Marigot,9726.58
Jerusalem,Atafu,16268.74
Jerusalem,El-Aaiún,4688.3
Jerusalem,Kabul,3167.49
Jerusalem,Tirana,1735.78
Jerusalem,Algiers,3000.72
Jerusalem,Pago Pago,16747.87
Jerusalem,Andorra la Vella,3197.91
Jerusalem,Luanda,5067.46
Jerusalem,The Valley,9715.15
Jerusalem,Saint John's,9673.05
Jerusalem,Buenos Aires,12252.66
Jerusalem,Yerevan,1250.46
Jerusalem,Oranjestad,10688.32
Jerusalem,Canberra,13986.99
Jerusalem,Vienna,2420.93
Jerusalem,Baku,1624.76
